,aparelho,marca,modelo,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Precos
0,Smartphone,Samsung,Galaxy,A15,"6,5""",128GB,Azul,Claro,4G,4GB,RAM,Câm.,Tripla,50MP,+,Selfie,13MP,5000mAh,Dual,Chip,,,,,,,"  R$ 799,00"
1,Smartphone,Samsung,Galaxy,A05s,"6,7""",128GB,Preto,6GB,RAM,Câm.,Tripla,50MP,+,Selfie,13MP,Bateria,5000mAh,Dual,Chip,,,,,,,,"  R$ 899,10"
2,Smartphone,Samsung,Galaxy,A15,"6,5""",256GB,Azul,Escuro,5G,8GB,RAM,Câm.,Tripla,50MP,+,Selfie,13MP,5000mAh,Dual,Chip,,,,,,,"  R$ 1.259,10"
3,Smartphone,Motorola,Moto,G24,128GB,Rosa,4GB,+,4GB,RAM,Boost,"6,6""",Câm.,Dupla,+,Selfie,8MP,Dual,Chip,,,,,,,,"  R$ 699,00"
4,Smartphone,Motorola,Moto,G34,128GB,Azul,5G,4GB,+,4GB,RAM,Boost,"6,5""",Câm.,Dupla,+,Selfie,16MP,Dual,Chip,,,,,,,"  R$ 799,00"
5,Apple,iPhone,13,128GB,Estelar,Tela,"6,1”",12MP,,,,,,,,,,,,,,,,,,,"  R$ 3.479,00"
6,Smartphone,Motorola,Moto,G04s,128GB,Grafite,4GB,RAM,"6,6""",Câm,50MP,+,Selfie,5MP,Dual,Chip,,,,,,,,,,,"  R$ 719,10"
7,Samsung,Galaxy,S23,FE,5G,Smartphone,Android,128GB,Creme,,,,,,,,,,,,,,,,,,"  R$ 2.399,00"
8,Smartphone,Samsung,Galaxy,A35,128GB,Rosa,5G,6GB,RAM,"6,6""",Câm.,Tripla,+,Selfie,13MP,Dual,Chip,,,,,,,,,,"  R$ 1.699,00"
9,Smartphone,Samsung,Galaxy,S23,256GB,Preto,5G,8GB,RAM,"6,1”",Câm,Tripla,+,Selfie,12MP,,,,,,,,,,,,"  R$ 2.699,00"
10,Smartphone,Motorola,Moto,G04s,128GB,Tela,"6,6",Câmera,50MP,Selfie,5MP,Dual,Chip,Android,14,,,,,,,,,,,,"  R$ 700,74"
